RunId,Success,Duration,TotalTrucks,TotalParcels,MinInterarrival,MaxBeltLoad,MaxStationLoad,AvgProcessingTime,StationLoadStdDev
1,1,28800,68,6971,65,170,50,4.98,141.98
2,1,28800,57,5576,21,142,50,4.99,69.03
3,0,21815,44,4538,1,300,50,5.02,132.24
4,1,28800,71,6777,6,264,50,5.00,97.13
5,1,28800,78,7680,10,260,50,4.99,141.76
6,0,18712,36,3796,37,300,50,4.99,108.59
7,1,28800,70,7200,1,294,50,4.98,152.84
8,1,28800,60,6118,2,239,50,5.01,153.83
9,0,16509,33,3393,15,300,50,5.00,77.63
10,0,14492,42,4204,1,300,50,4.99,95.59
11,1,28800,65,6473,3,228,50,5.01,132.71
12,0,26506,55,5274,4,300,50,4.98,112.42
13,1,28800,54,5266,7,219,50,5.02,120.48
14,1,28800,60,6033,7,282,50,4.99,178.41
15,1,28800,69,6580,4,295,50,5.01,109.37
16,0,5137,14,1567,26,300,50,4.94,46.08
17,0,19129,40,3941,8,300,50,5.00,70.51
18,1,28800,61,5867,2,222,50,5.02,95.25
19,0,8058,28,2702,8,300,50,5.05,59.37
20,1,28800,62,6064,25,243,50,5.00,128.71
21,1,28800,50,4907,2,273,50,5.01,133.71
22,1,28800,59,5824,22,264,50,5.01,149.33
23,1,28800,64,6241,6,210,50,5.00,138.53
24,1,28800,70,7066,7,193,50,4.98,102.20
25,0,15473,27,2662,12,300,50,5.02,75.58
26,1,28800,68,6772,1,193,50,5.00,141.81
27,0,11703,32,2996,2,300,50,4.98,70.11
28,1,28800,69,7094,1,258,50,5.01,158.53
29,1,28800,52,5456,15,245,50,4.95,114.68
30,0,12081,23,2316,8,300,50,5.10,76.02
31,0,605,4,421,42,300,50,4.93,19.09
32,1,28800,61,6313,6,295,50,4.97,113.51
33,1,28800,62,5940,7,256,50,4.98,140.31
34,1,28800,59,6044,4,258,50,5.01,126.45
35,1,28800,61,5757,17,255,50,5.01,79.81
36,1,28800,68,6463,3,171,50,4.97,129.51
37,1,28800,63,6588,6,281,50,4.97,104.45
38,1,28800,71,6651,2,204,50,4.99,140.74
39,0,20565,44,4425,5,300,50,4.98,89.99
40,0,7265,18,1852,6,300,50,5.05,60.44
41,1,28800,53,5310,65,189,50,4.99,115.55
42,1,28800,52,5067,12,164,50,5.05,103.41
43,0,7481,18,1903,8,300,50,4.98,66.77
44,1,28800,52,5104,1,203,50,5.01,85.00
45,1,28800,69,7258,1,278,50,5.01,161.87
46,1,28800,49,5101,14,237,50,5.04,113.96
47,1,28800,55,5767,1,208,50,5.02,148.66
48,0,16120,38,3883,27,300,50,4.95,87.62
49,1,28800,65,6078,7,166,50,5.01,134.57
50,0,2109,11,1209,46,300,50,5.05,41.41
51,1,28800,72,6706,1,227,50,5.01,128.48
52,1,28800,75,7632,11,236,50,5.04,159.24
53,0,3444,8,920,16,300,50,4.91,37.14
54,0,17017,40,3891,15,300,50,5.01,110.76
55,1,28800,66,6836,1,293,50,5.01,137.14
56,1,28800,63,6085,22,208,50,4.97,141.10
57,1,28800,57,5717,11,203,50,4.97,127.61
58,0,5989,18,1827,22,300,50,4.99,61.36
59,1,28800,54,5465,3,185,50,4.99,117.80
60,1,28800,67,6648,1,260,50,5.00,144.43
61,1,28800,59,5902,11,196,50,5.01,114.42
62,0,2798,8,781,26,300,50,5.10,35.85
63,0,27159,62,6136,6,300,50,5.05,124.18
64,1,28800,47,4780,5,173,50,5.02,87.70
65,0,19849,42,4308,9,300,50,5.03,80.68
66,0,21253,59,6083,4,300,50,5.03,143.34
67,0,16454,41,4316,4,300,50,5.00,100.28
68,0,2042,6,547,11,300,50,5.18,30.51
69,1,28800,67,6805,1,289,50,5.00,113.51
70,1,28800,64,6359,3,251,50,5.00,120.36
71,1,28800,67,6531,8,296,50,4.99,156.01
72,1,28800,51,5046,25,164,50,4.99,116.87
73,0,13985,22,2075,14,300,50,5.03,78.49
74,1,28800,58,5974,14,181,50,5.04,152.11
75,0,16910,41,4110,13,300,50,4.99,119.13
76,1,28800,66,6689,6,268,50,5.00,139.05
77,0,22007,50,4955,5,300,50,4.98,146.44
78,1,28800,63,6415,2,224,50,4.98,123.72
79,1,28800,63,5918,18,156,50,4.99,135.25
80,1,28800,54,5303,3,212,50,4.97,128.33
81,1,28800,74,7496,6,268,50,5.01,105.97
82,1,28800,63,6386,7,232,50,5.01,127.96
83,1,28800,57,5848,2,237,50,5.04,134.67
84,1,28800,62,6106,7,217,50,4.99,132.13
85,1,28800,55,5399,11,225,50,4.98,109.07
86,0,28667,75,7294,1,300,50,5.02,131.91
87,1,28800,55,5445,30,231,50,4.98,126.33
88,1,28800,60,6020,2,215,50,4.97,126.52
89,1,28800,44,4356,7,205,50,5.01,99.79
90,1,28800,69,6861,11,273,50,4.98,136.55
91,1,28800,56,5499,13,220,50,5.00,104.59
92,1,28800,57,5632,11,264,50,5.00,140.42
93,1,28800,66,6663,7,231,50,5.02,120.64
94,0,2462,11,1157,21,300,50,4.96,45.32
95,0,7182,23,2212,10,300,50,4.99,67.61
96,1,28800,65,6513,8,200,50,5.01,127.87
